Season Number,Startup Name,Season Start,Season End,Episode Number,Episode Title,Anchor,Pitch Number,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Guest Name,Ashneer Present,Namita Present,Anupam Present,Vineeta Present,Aman Present,Peyush Present,Ghazal Present,Amit Present,Guest Present
2,Ravel,2/1/2023,10/3/2023,22,Making Big Businesses,Rahul Dua,218,Beauty/Fashion,Custom Hair Products,https://www.ravelcare.com/,1,1,0,0,0,,2021,Amaravati,Maharashtra,0,40,0,0,75,2.5,3000,1,1,75,10,0,0,750,1,0,0,0,0,0,0,0,0,75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,HoneyVeda,2/1/2023,10/3/2023,22,Making Big Businesses,Rahul Dua,219,Food,Honey in natural nutritious form,https://www.honeyveda.in/,2,2,0,0,0,,0,Ahmedabad,Gujarat,53,0,20,0,75,7.5,1000,1,1,50,20,25,12,250,2,0,0,0,0,0,0,0,0,25,10,12.5,25,10,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,PadCare,2/1/2023,10/3/2023,23,Changing The World,Rahul Dua,220,Manufacturing,Menstrual hygiene disposal solution,https://www.padcarelabs.com/,1,1,0,0,0,,0,Pune,Maharashtra,-1,14,0,0,50,2,2500,1,1,100,4,0,0,2500,4,0,0,0,0,0,25,1,0,25,1,0,25,1,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,SwadeshiBlessings,2/1/2023,10/3/2023,23,Changing The World,Rahul Dua,221,Furnishing/Household,Clay utensils and cookwares,https://www.swadeshiblessings.in/,3,1,2,0,0,,2020,Udaipur,Rajasthan,120,28,60,0,50,5,1000,1,1,25,5,25,12,500,2,0,0,0,0,0,12.5,2.5,12.5,0,0,0,12.5,2.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,OLL,2/1/2023,10/3/2023,23,Changing The World,Rahul Dua,222,Technology/Software,Online Live Learning Skill development classes,https://www.oll.co/,1,1,0,0,0,,0,Mumbai,Maharashtra,0,0,0,0,30,2,1500,1,1,30,5,0,0,600,2,0,0,0,0,0,0,0,0,0,0,0,15,2.5,0,0,0,0,15,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,Febris,2/1/2023,10/3/2023,23,Changing The World,Rahul Dua,223,Medical/Health,"Scrubs, Lab Coats & Medical Apparel",https://www.febris.in/,2,2,0,0,0,,0,Ferozepur,Punjab,110,12,0,20,100,2.5,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
2,Geeani,2/1/2023,10/3/2023,24,India Ke Incredible Entrepreneurs,Rahul Dua,224,Vehicles/Electrical Vehicles,Smallest EV tractor,0,3,2,1,0,0,,0,Ahmedabad,Gujarat,0,0,0,0,75,7.5,1000,1,1,100,10,0,0,1000,3,0,0,0,0,0,0,0,0,33.33,3.33,0,33.33,3.33,0,33.33,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,Amore,2/1/2023,10/3/2023,24,India Ke Incredible Entrepreneurs,Rahul Dua,225,Food,Gelato Ice Cream Online,https://www.amoregelato.com/,2,2,0,0,0,,0,"Hyderabad,Mumbai","Telangana,Maharashtra",0,0,0,0,75,4,1875,1,1,75,7.5,0,0,1000,1,yes,0,0,0,0,0,0,0,75,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,LeafyAffair,2/1/2023,10/3/2023,24,India Ke Incredible Entrepreneurs,Rahul Dua,226,Beauty/Fashion,Botanical Jewellery,https://leafyaffair.com/,1,1,0,0,0,,0,Bangalore,Karnataka,110,21,80,0,50,2.5,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,ScrapUncle,2/1/2023,10/3/2023,25,Badhta India,Rahul Dua,227,Services,Sell scrap recyclables online,https://scrapuncle.com/,1,1,0,0,0,,2020,Delhi,Delhi,600,0,25,0,60,3,2000,1,1,60,5,0,0,1200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,SharmaJiKiAata,2/1/2023,10/3/2023,25,Badhta India,Rahul Dua,228,Food,Freshly milled atta,https://sharmajikaaata.com/,2,1,1,0,0,,2019,Pune,Maharashtra,0,0,63,38,40,10,400,1,1,40,20,0,0,200,1,0,0,0,0,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,Manetain,2/1/2023,10/3/2023,25,Badhta India,Rahul Dua,229,Beauty/Fashion,Curly Hair Care Products,https://manetain.in/,2,0,2,0,0,,0,"Cochin,Mumbai","Kerala,Maharashtra",100,12,60,0,75,2.5,3000,1,1,75,10,0,0,750,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
